1,之
2,不
3,一
4,人
5,以
6,有
7,了
8,为
9,道
10,是
11,子
12,的
13,来
14,大
15,也
16,十
17,其
18,上
19,二
20,而
21,中
22,曰
23,下
24,于
25,三
26,得
27,在
28,年
29,我
30,他
31,王
32,说
33,事
34,见
35,将
36,者
37,去
38,日
39,天
40,州
41,出
42,后
43,又
44,自
45,此
46,个
47,时
48,无
49,军
50,太
51,这
52,与
53,月
54,所
55,家
56,如
57,知
58,你
59,里
60,公
61,行
62,可
63,使
64,到
65,四
66,至
67,五
68,那
69,官
70,书
71,生
72,小
73,言
74,何
75,相
76,兵
77,今
78,都
79,南
80,山
81,就
82,只
83,正
84,前
85,明
86,东
87,着
88,门
89,帝
90,等
91,文
92,国
93,百
94,西
95,心
96,安
97,然
98,要
99,好
100,入
101,回
102,同
103,从
104,老
105,两
106,进
107,已
108,马
109,起
110,云
111,元
112,当
113,及
114,未
115,臣
116,便
117,还
118,地
119,夫
120,城
121,过
122,看
123,令
124,儿
125,多
126,六
127,用
128,方
129,士
130,乃
131,分
132,长
133,金
134,平
135,能
136,故
137,则
138,命
139,万
140,头
141,先
142,史
143,名
144,皆
145,主
146,死
147,司
148,成
149,问
150,武
151,外
152,复
153,水
154,八
155,请
156,七
157,师
158,宗
159,高
160,千
161,诸
162,听
163,内
164,若
165,朝
166,身
167,尚
168,李
169,和
170,作
171,北
172,定
173,县
174,张
175,女
176,因
177,阳
178,面
179,数
180,府
181,江
182,即
183,德
184,亦
185,把
186,河
187,本
188,守
189,礼
190,九
191,世
192,君
193,众
194,白
195,开
196,闻
197,走
198,立
199,并
200,意
201,部
202,亲
203,才
204,处
205,皇
206,常
207,必
208,法
209,非
210,会
211,欲
212,们
213,手
214,民
215,谓
216,么
217,声
218,且
219,少
220,遂
221,路
222,诏
223,玉
224,叫
225,位
226,氏
227,郎
228,左
229,甚
230,余
231,风
232,弟
233,度
234,初
235,义
236,各
237,杀
238,父
239,归
240,侍
241,花
242,口
243,神
244,发
245,第
246,光
247,取
248,坐
249,应
250,遣
251,矣
252,学
253,京
254,间
255,卷
256,春
257,酒
258,字
259,重
260,没
261,几
262,右
263,祖
264,罢
265,既
266,经
267,往
268,再
269,汉
270,宝
271,黄
272,边
273,通
274,笑
275,御
276,节
277,宫
278,却
279,对
280,兴
281,周
282,母
283,真
284,石
285,陈
286,话
287,打
288,尽
289,气
290,直
291,情
292,传
293,海
294,齐
295,难
296,乐
297,己
298,拜
299,吾
300,清
301,合
302,夜
303,做
304,居
305,刘
306,龙
307,郡
308,奏
309,钱
310,置
311,功
312,封
313,住
314,原
315,兄
316,想
317,虽
318,爷
319,举
320,实
321,岁
322,向
323,贼
324,卿
325,被
326,敢
327,领
328,议
329,望
330,思
331,别
332,制
333,注
334,许
335,送
336,信
337,些
338,姐
339,次
340,政
341,受
342,求
343,秋
344,加
345,古
346,衣
347,改
348,服
349,娘
350,远
351,侯
352,解
353,林
354,流
355,给
356,理
357,孙
358,卒
359,忠
360,奉
361,首
362,留
363,房
364,战
365,连
366,喜
367,罪
368,称
369,物
370,新
371,善
372,刺
373,食
374,宜
375,教
376,广
377,更
378,章
379,户
380,吃
381,或
382,观
383,报
384,赐
385,保
386,建
387,引
388,力
389,关
390,色
391,殿
392,随
393,降
394,圣
395,任
396,宋
397,治
398,台
399,告
400,乱
401,半
402,旧
403,计
404,待
405,放
406,青
407,省
408,乎
409,始
410,吏
411,带
412,宣
413,转
414,病
415,姓
416,香
417,杨
418,失
419,妇
420,银
421,动
422,论
423,宁
424,卫
425,孝
426,但
427,由
428,甲
429,差
430,镇
431,吴
432,魏
433,诗
434,总
435,交
436,寻
437,足
438,陵
439,怎
440,骑
441,属
442,管
443,迁
444,早
445,客
446,仁
447,久
448,监
449,深
450,贤
451,员
452,尔
453,贵
454,星
455,莫
456,景
457,语
458,车
459,堂
460,赵
461,收
462,秦
463,代
464,唐
465,集
466,飞
467,破
468,仙
469,反
470,近
471,修
472,异
473,梁
474,备
475,丁
476,营
477,曾
478,志
479,果
480,焉
481,院
482,空
483,夏
484,华
485,火
486,全
487,急
488,临
489,样
490,田
491,忽
492,参
493,永
494,岂
495,终
496,止
497,每
498,易
499,忙
500,恩
501,率
502,辞
503,利
504,点
505,谢
506,容
507,除
508,历
509,致
510,晋
511,拿
512,败
513,征
514,伯
515,胜
516,妻
517,承
518,庙
519,仪
520,指
521,接
522,凡
523,兼
524,阴
525,怀
526,表
527,倒
528,遇
529,徐
530,满
531,执
532,密
533,红
534,庆
535,授
536,须
537,耳
538,恐
539,济
540,土
541,幸
542,犯
543,游
544,督
545,惊
546,船
547,丞
548,召
549,害
550,散
551,免
552,福
553,攻
554,木
555,尉
556,讨
557,性
558,化
559,号
560,贾
561,愿
562,申
563,良
564,俱
565,觉
566,乘
567,廷
568,舍
569,干
570,抚
571,落
572,候
573,美
574,按
575,轻
576,顺
577,胡
578,徒
579,记
580,犹
581,什
582,献
583,谁
584,依
585,退
586,谋
587,职
588,雨
589,玄
590,目
591,独
592,帅
593,郑
594,步
595,姑
596,尝
597,提
598,罗
599,竟
600,爱
601,素
602,辛
603,绝
604,眼
605,变
606,延
607,比
608,强
609,品
610,汝
611,英
612,灵
613,校
614,毕
615,追
616,答
617,辰
618,设
619,谷
620,惟
621,威
622,哥
623,迎
624,击
625,室
626,昌
627,益
628,极
629,亡
630,怒
631,权
632,伏
633,仍
634,敬
635,推
636,商
637,骸
638,救
639,升
640,副
641,图
642,疑
643,约
644,察
645,僧
646,恶
647,虎
648,细
649,登
650,业
651,梦
652,统
653,刑
654,似
655,固
656,阿
657,运
658,视
659,凤
660,布
661,淮
662,音
663,精
664,寿
665,楼
666,乡
667,楚
668,牛
669,达
670,草
671,略
672,尊
673,离
674,据
675,乙
676,朔
677,苦
678,共
679,列
680,疾
681,午
682,群
683,断
684,川
685,曹
686,持
687,赏
688,昭
689,嘉
690,陛
691,奇
692,叔
693,射
694,招
695,特
696,隐
697,旨
698,顾
699,肯
700,克
701,句
702,疏
703,饮
704,快
705,奔
706,盖
707,湖
708,曲
709,私
710,体
711,晚
712,祭
713,康
714,巡
715,势
716,暗
717,伤
718,禁
719,怕
720,呢
721,纳
722,苏
723,欢
724,仆
725,珠
726,结
727,越
728,休
729,呼
730,刻
731,丑
732,念
733,庚
734,写
735,工
736,孔
737,微
738,燕
739,让
740,庄
741,剑
742,般
743,彼
744,友
745,斩
746,选
747,息
748,婆
749,怪
750,寺
751,韩
752,仲
753,壬
754,哭
755,双
756,录
757,禄
